Day,Volume (In Mn.),Value (In Cr.)
"September 01, 2024",511.42,69073.83
"September 02, 2024",511.18,86274.07
"September 03, 2024",515.89,81437.03
"September 04, 2024",527.68,83685.23
"September 05, 2024",527.55,80797.4
"September 06, 2024",530.7,77713.57
"September 07, 2024",502.87,65498.43
"September 08, 2024",491.56,56165.45
"September 09, 2024",508.43,79490.57
"September 10, 2024",511.45,78254.62
"September 11, 2024",514.6,75806.41
"September 12, 2024",498.81,70296.67
"September 13, 2024",507.92,70079.7
"September 14, 2024",509.66,65219.02
"September 15, 2024",494.6,53280.38
"September 16, 2024",492.33,63984.34
"September 17, 2024",468.91,59687.43
"September 18, 2024",499.14,66289.32
"September 19, 2024",500.68,68177.63
"September 20, 2024",500.27,65412.69
"September 21, 2024",495.1,63704.4
"September 22, 2024",490.51,50664.47
"September 23, 2024",488.8,66590.44
"September 24, 2024",482.45,63656.76
"September 25, 2024",481.23,66166.94
"September 26, 2024",480.46,66459.08
"September 27, 2024",493.89,66716.07
"September 28, 2024",495.67,61976.27
"September 29, 2024",477.38,50108.87
"September 30, 2024",530.61,91327.62
Total,15041.75,2063994.71
